DATE,ICNSA
2/17/1973,242000
2/24/1973,220000
3/3/1973,233000
3/10/1973,227000
3/17/1973,212000
3/24/1973,209000
3/31/1973,193000
4/7/1973,244000
4/14/1973,212000
4/21/1973,211000
4/28/1973,194000
5/5/1973,214000
5/12/1973,198000
5/19/1973,189000
5/26/1973,190000
6/2/1973,173000
6/9/1973,210000
6/16/1973,198000
6/23/1973,206000
6/30/1973,215000
7/7/1973,309000
7/14/1973,270000
7/21/1973,259000
7/28/1973,265000
8/4/1973,262000
8/11/1973,238000
8/18/1973,207000
8/25/1973,190000
9/1/1973,180000
9/8/1973,177000
9/15/1973,186000
9/22/1973,187000
9/29/1973,191000
10/6/1973,210000
10/13/1973,207000
10/20/1973,208000
10/27/1973,200000
11/3/1973,230000
11/10/1973,277000
11/17/1973,261000
11/24/1973,237000
12/1/1973,299000
12/8/1973,345000
12/15/1973,340000
12/22/1973,429000
12/29/1973,461000
1/5/1974,405000
1/12/1974,584000
1/19/1974,465000
1/26/1974,373000
2/2/1974,381000
2/9/1974,459000
2/16/1974,352000
2/23/1974,296000
3/2/1974,313000
3/9/1974,310000
3/16/1974,293000
3/23/1974,285000
3/30/1974,279000
4/6/1974,288000
4/13/1974,278000
4/20/1974,256000
4/27/1974,235000
5/4/1974,243000
5/11/1974,249000
5/18/1974,238000
5/25/1974,246000
6/1/1974,209000
6/8/1974,267000
6/15/1974,255000
6/22/1974,266000
6/29/1974,285000
7/6/1974,350000
7/13/1974,351000
7/20/1974,325000
7/27/1974,333000
8/3/1974,340000
8/10/1974,318000
8/17/1974,269000
8/24/1974,260000
8/31/1974,259000
9/7/1974,253000
9/14/1974,271000
9/21/1974,283000
9/28/1974,279000
10/5/1974,325000
10/12/1974,358000
10/19/1974,324000
10/26/1974,357000
11/2/1974,375000
11/9/1974,435000
11/16/1974,450000
11/23/1974,532000
11/30/1974,524000
12/7/1974,693000
12/14/1974,637000
12/21/1974,677000
12/28/1974,813000
1/4/1975,681000
1/11/1975,969000
1/18/1975,850000
1/25/1975,729000
2/1/1975,699000
2/8/1975,691000
2/15/1975,608000
2/22/1975,567000
3/1/1975,568000
3/8/1975,569000
3/15/1975,494000
3/22/1975,499000
3/29/1975,477000
4/5/1975,505000
4/12/1975,496000
4/19/1975,456000
4/26/1975,429000
5/3/1975,420000
5/10/1975,432000
5/17/1975,410000
5/24/1975,391000
5/31/1975,360000
6/7/1975,443000
6/14/1975,422000
6/21/1975,428000
6/28/1975,407000
7/5/1975,460000
7/12/1975,517000
7/19/1975,481000
7/26/1975,471000
8/2/1975,462000
8/9/1975,429000
8/16/1975,367000
8/23/1975,353000
8/30/1975,332000
9/6/1975,331000
9/13/1975,341000
9/20/1975,336000
9/27/1975,342000
10/4/1975,365000
10/11/1975,385000
10/18/1975,332000
10/25/1975,372000
11/1/1975,378000
11/8/1975,414000
11/15/1975,371000
11/22/1975,419000
11/29/1975,403000
12/6/1975,487000
12/13/1975,456000
12/20/1975,463000
12/27/1975,573000
1/3/1976,540000
1/10/1976,708000
1/17/1976,563000
1/24/1976,486000
1/31/1976,450000
2/7/1976,452000
2/14/1976,391000
2/21/1976,367000
2/28/1976,353000
3/6/1976,366000
3/13/1976,343000
